ATM Name,Transaction Date,No Of Withdrawals,Total amount Withdrawn (Rupee),Total amount Withdrawn (Rupiah),Weekday
Mount Road ATM,11/10/12,207,752200,140578658,SUNDAY
Airport ATM,11/10/12,118,600000,112134000,SUNDAY
KK Nagar ATM,11/10/12,287,1215000,227071350,SUNDAY
Christ College ATM,11/10/12,129,618400,115572776,SUNDAY
Big Street ATM,12/10/12,70,262600,49077314,SUNDAY
Mount Road ATM,12/10/12,192,735500,137457595,SUNDAY
Airport ATM,12/10/12,36,182700,34144803,SUNDAY
KK Nagar ATM,12/10/12,250,923100,172518159,SUNDAY
Christ College ATM,12/10/12,128,564200,105443338,SUNDAY
Big Street ATM,13/10/12,87,270700,50591123,SATURDAY
Mount Road ATM,13/10/12,239,854500,159697505,SATURDAY
Airport ATM,13/10/12,46,267300,49955697,SATURDAY
KK Nagar ATM,13/10/12,307,1159100,216624199,SATURDAY
Christ College ATM,13/10/12,129,523800,97892982,SATURDAY
Big Street ATM,14/10/12,63,207800,38835742,SUNDAY
Mount Road ATM,14/10/12,179,400800,74905512,SUNDAY
Airport ATM,14/10/12,136,481500,89987535,SUNDAY
KK Nagar ATM,14/10/12,213,849900,158837811,SUNDAY
Christ College ATM,14/10/12,89,371500,69429635,SUNDAY
Big Street ATM,15/10/12,84,293400,54833526,SUNDAY
Mount Road ATM,15/10/12,197,567000,105966630,SUNDAY
Airport ATM,15/10/12,151,946600,176910074,SUNDAY
KK Nagar ATM,15/10/12,281,1449500,270897055,SUNDAY
Christ College ATM,15/10/12,143,683300,127701937,SUNDAY
Big Street ATM,16/10/12,80,310400,58010656,SUNDAY
Mount Road ATM,16/10/12,162,495800,92660062,SUNDAY
Airport ATM,16/10/12,129,554300,103593127,SUNDAY
KK Nagar ATM,16/10/12,260,1168300,218343587,SUNDAY
Christ College ATM,16/10/12,110,478800,89482932,SUNDAY
Big Street ATM,17/10/12,79,252100,47114969,SUNDAY
Mount Road ATM,17/10/12,143,355600,66458084,SUNDAY
Airport ATM,17/10/12,113,526700,98434963,SUNDAY
KK Nagar ATM,17/10/12,266,1379900,257889511,SUNDAY
Christ College ATM,17/10/12,100,464500,86810405,SUNDAY
Big Street ATM,18/10/12,68,244700,45731983,SUNDAY
Mount Road ATM,18/10/12,159,447000,83539830,SUNDAY
Airport ATM,18/10/12,61,236400,44180796,SUNDAY
KK Nagar ATM,18/10/12,176,748400,139868476,SUNDAY
Christ College ATM,18/10/12,90,380600,71130334,SUNDAY
Big Street ATM,19/10/12,69,174200,32556238,SUNDAY
Mount Road ATM,19/10/12,188,750300,140223567,SUNDAY
Airport ATM,19/10/12,68,276600,51693774,SUNDAY
KK Nagar ATM,19/10/12,210,752700,140672103,SUNDAY
Christ College ATM,19/10/12,88,487800,91164942,SUNDAY
Big Street ATM,20/10/12,86,264400,49413716,SATURDAY
Mount Road ATM,20/10/12,222,629700,117684633,SATURDAY
Airport ATM,20/10/12,124,564200,105443338,SATURDAY
KK Nagar ATM,20/10/12,267,1088600,203448454,SATURDAY
Christ College ATM,20/10/12,100,488800,91351832,SATURDAY
Big Street ATM,21/10/12,102,341100,63748179,SUNDAY
Mount Road ATM,21/10/12,141,316900,59225441,SUNDAY
Airport ATM,21/10/12,81,292200,54609258,SUNDAY
KK Nagar ATM,21/10/12,141,547100,102247519,SUNDAY
Christ College ATM,21/10/12,57,250400,46797256,SUNDAY
Big Street ATM,22/10/12,55,174100,32537549,SUNDAY
Mount Road ATM,22/10/12,192,646000,120730940,SUNDAY
Airport ATM,22/10/12,119,651100,121684079,SUNDAY
KK Nagar ATM,22/10/12,307,1437700,268691753,SUNDAY
Christ College ATM,22/10/12,94,530700,99182523,SUNDAY
Big Street ATM,23/10/12,77,278600,52067554,TUESDAY
Mount Road ATM,23/10/12,132,394600,73746794,TUESDAY
Airport ATM,23/10/12,73,313400,58571326,TUESDAY
KK Nagar ATM,23/10/12,124,408700,76381943,TUESDAY
Christ College ATM,23/10/12,68,365700,68345673,TUESDAY
Big Street ATM,24/10/12,76,221600,41414824,WEDNESDAY
Mount Road ATM,24/10/12,143,336000,62795040,WEDNESDAY
Airport ATM,24/10/12,88,451800,84436902,WEDNESDAY
KK Nagar ATM,24/10/12,206,853800,159566682,WEDNESDAY
Christ College ATM,24/10/12,67,256000,47843840,WEDNESDAY
Big Street ATM,25/10/12,64,226400,42311896,WEDNESDAY
Mount Road ATM,25/10/12,162,439000,82044710,WEDNESDAY
Airport ATM,25/10/12,108,428400,80063676,WEDNESDAY
KK Nagar ATM,25/10/12,305,1496700,279718263,WEDNESDAY
Christ College ATM,25/10/12,101,448300,83782787,WEDNESDAY
Big Street ATM,26/10/12,76,297100,55525019,WEDNESDAY
Mount Road ATM,26/10/12,181,540800,101070112,WEDNESDAY
Airport ATM,26/10/12,101,518200,96846398,WEDNESDAY
KK Nagar ATM,26/10/12,288,1260000,235481400,WEDNESDAY
Christ College ATM,26/10/12,56,227400,42498786,WEDNESDAY
Big Street ATM,27/10/12,57,148600,27771854,SATURDAY
Mount Road ATM,27/10/12,156,440300,82287667,SATURDAY
Airport ATM,27/10/12,111,494700,92454483,SATURDAY
KK Nagar ATM,27/10/12,227,1051000,196421390,SATURDAY
Christ College ATM,27/10/12,74,308700,57692943,SATURDAY
Big Street ATM,28/10/12,63,185600,34686784,SUNDAY
Mount Road ATM,28/10/12,163,464300,86773027,SUNDAY
Airport ATM,28/10/12,92,307000,57375230,SUNDAY
KK Nagar ATM,28/10/12,170,722600,135046714,SUNDAY
Christ College ATM,28/10/12,97,317200,59281508,SUNDAY
Big Street ATM,29/10/12,53,157300,29397797,SUNDAY
Mount Road ATM,29/10/12,77,185300,34630717,SUNDAY
Airport ATM,29/10/12,118,556300,103966907,SUNDAY
KK Nagar ATM,29/10/12,281,1001800,187226402,SUNDAY
Christ College ATM,29/10/12,104,343200,64140648,SUNDAY
Big Street ATM,30/10/12,50,150400,28108256,SUNDAY
Mount Road ATM,30/10/12,119,401600,75055024,SUNDAY
Airport ATM,30/10/12,30,112000,20931680,SUNDAY
KK Nagar ATM,30/10/12,151,639000,119422710,SUNDAY
Christ College ATM,30/10/12,99,368400,68850276,SUNDAY
Big Street ATM,31/10/12,80,231300,43227657,SUNDAY
Mount Road ATM,31/10/12,146,495000,92510550,SUNDAY
Airport ATM,31/10/12,62,327500,61206475,SUNDAY
KK Nagar ATM,31/10/12,165,803600,150184804,SUNDAY
Christ College ATM,31/10/12,59,321000,59991690,SUNDAY
Big Street ATM,01/11/12,87,353300,66028237,SUNDAY
Mount Road ATM,01/11/12,223,1020500,190721245,SUNDAY
Airport ATM,01/11/12,127,655600,122525084,SUNDAY
KK Nagar ATM,01/11/12,410,2382700,445302803,SUNDAY
Christ College ATM,01/11/12,112,647600,121029964,SUNDAY
Big Street ATM,02/11/12,90,330100,61692389,SUNDAY
Mount Road ATM,02/11/12,208,882800,164986492,SUNDAY
Airport ATM,02/11/12,115,555500,103817395,SUNDAY
KK Nagar ATM,02/11/12,370,2010400,375723656,SUNDAY
Christ College ATM,02/11/12,131,548300,102471787,SUNDAY
Big Street ATM,03/11/12,79,318300,59487087,SATURDAY
Mount Road ATM,03/11/12,262,1082400,202289736,SATURDAY
Airport ATM,03/11/12,107,498900,93239421,SATURDAY
KK Nagar ATM,03/11/12,349,1745000,326123050,SATURDAY
Christ College ATM,03/11/12,141,622100,116264269,SATURDAY
Big Street ATM,04/11/12,76,242300,45283447,SUNDAY
Mount Road ATM,04/11/12,153,432400,80811236,SUNDAY
Airport ATM,04/11/12,115,607000,113442230,SUNDAY
KK Nagar ATM,04/11/12,209,973500,181937415,SUNDAY
Christ College ATM,04/11/12,122,558700,104415443,SUNDAY
Big Street ATM,05/11/12,110,394100,73653349,SUNDAY
Mount Road ATM,05/11/12,287,1296600,242321574,SUNDAY
Airport ATM,05/11/12,132,757600,141587864,SUNDAY
KK Nagar ATM,05/11/12,175,761000,142223290,SUNDAY
Christ College ATM,05/11/12,165,895300,167322617,SUNDAY
Big Street ATM,06/11/12,75,300200,56104378,SUNDAY
Mount Road ATM,06/11/12,249,891500,166612435,SUNDAY
Airport ATM,06/11/12,94,508900,95108321,SUNDAY
KK Nagar ATM,06/11/12,279,1236600,231108174,SUNDAY
Christ College ATM,06/11/12,135,578400,108097176,SUNDAY
Big Street ATM,07/11/12,109,392100,73279569,SUNDAY
Mount Road ATM,07/11/12,249,904500,169042005,SUNDAY
Airport ATM,07/11/12,155,956700,178797663,SUNDAY
KK Nagar ATM,07/11/12,264,1433600,267925504,SUNDAY
Christ College ATM,07/11/12,208,1094800,204607172,SUNDAY
Big Street ATM,08/11/12,83,302800,56590292,SUNDAY
Mount Road ATM,08/11/12,193,638500,119329265,SUNDAY
Airport ATM,08/11/12,147,749100,139999299,SUNDAY
KK Nagar ATM,08/11/12,359,1720300,321506867,SUNDAY
Christ College ATM,08/11/12,160,674200,126001238,SUNDAY
Big Street ATM,09/11/12,92,318100,59449709,SUNDAY
Mount Road ATM,09/11/12,306,992100,185413569,SUNDAY
Airport ATM,09/11/12,115,678100,126730109,SUNDAY
KK Nagar ATM,09/11/12,347,1492600,278952014,SUNDAY
Christ College ATM,09/11/12,132,560900,104826601,SUNDAY
Big Street ATM,10/11/12,132,491800,91912502,SATURDAY
Mount Road ATM,10/11/12,304,1164200,217577338,SATURDAY
Airport ATM,10/11/12,176,965400,180423606,SATURDAY
KK Nagar ATM,10/11/12,373,1628800,304406432,SATURDAY
Christ College ATM,10/11/12,185,825100,154202939,SATURDAY
Big Street ATM,11/11/12,127,466800,87240252,SUNDAY
Mount Road ATM,11/11/12,229,672500,125683525,SUNDAY
Airport ATM,11/11/12,122,558600,104396754,SUNDAY
KK Nagar ATM,11/11/12,409,1276700,238602463,SUNDAY
Christ College ATM,11/11/12,155,583700,109087693,SUNDAY
Big Street ATM,12/11/12,111,451200,84324768,SUNDAY
Mount Road ATM,12/11/12,190,617300,115367197,SUNDAY
Airport ATM,12/11/12,121,501600,93744024,SUNDAY
KK Nagar ATM,12/11/12,444,1466400,274055496,SUNDAY
Christ College ATM,12/11/12,104,410500,76718345,SUNDAY
Big Street ATM,13/11/12,105,374200,69934238,TUESDAY
Mount Road ATM,13/11/12,86,283600,53002004,TUESDAY
Airport ATM,13/11/12,55,140700,26295423,TUESDAY
KK Nagar ATM,13/11/12,111,169800,31733922,TUESDAY
Christ College ATM,13/11/12,55,179800,33602822,TUESDAY
Big Street ATM,14/11/12,62,185500,34668095,TUESDAY
Mount Road ATM,14/11/12,122,420500,78587245,TUESDAY
Airport ATM,14/11/12,99,514100,96080149,TUESDAY
KK Nagar ATM,14/11/12,243,1017500,190160575,TUESDAY
Christ College ATM,14/11/12,82,267100,49918319,TUESDAY
Big Street ATM,15/11/12,76,246100,45993629,TUESDAY
Mount Road ATM,15/11/12,125,393700,73578593,TUESDAY
Airport ATM,15/11/12,109,502700,93949603,TUESDAY
KK Nagar ATM,15/11/12,270,908700,169826943,TUESDAY
Christ College ATM,15/11/12,106,515600,96360484,TUESDAY
Big Street ATM,16/11/12,70,346900,64832141,TUESDAY
Mount Road ATM,16/11/12,120,353700,66102993,TUESDAY
Airport ATM,16/11/12,83,391400,73148746,TUESDAY
KK Nagar ATM,16/11/12,246,1065700,199168673,TUESDAY
Christ College ATM,16/11/12,98,364600,68140094,TUESDAY
Big Street ATM,17/11/12,55,232400,43433236,SATURDAY
Mount Road ATM,17/11/12,167,506100,94585029,SATURDAY
Airport ATM,17/11/12,102,420800,78643312,SATURDAY
KK Nagar ATM,17/11/12,286,1120800,209466312,SATURDAY
Christ College ATM,17/11/12,118,578800,108171932,SATURDAY
Mount Road ATM,18/11/12,1,400,74756,SUNDAY
Airport ATM,18/11/12,97,436300,81540107,SUNDAY
KK Nagar ATM,18/11/12,114,349200,65261988,SUNDAY
Christ College ATM,18/11/12,77,239100,44685399,SUNDAY
Big Street ATM,19/11/12,86,332800,62196992,SUNDAY
Mount Road ATM,19/11/12,132,338300,63224887,SUNDAY
Airport ATM,19/11/12,107,520000,97182800,SUNDAY
KK Nagar ATM,19/11/12,266,980500,183245645,SUNDAY
Christ College ATM,19/11/12,66,202500,37845225,SUNDAY
Big Street ATM,20/11/12,81,277800,51918042,SUNDAY
Mount Road ATM,20/11/12,197,684000,127832760,SUNDAY
Airport ATM,20/11/12,96,334600,62533394,SUNDAY
KK Nagar ATM,20/11/12,239,844200,157772538,SUNDAY
Christ College ATM,20/11/12,81,336100,62813729,SUNDAY
Big Street ATM,21/11/12,86,286200,53487918,SUNDAY
Mount Road ATM,21/11/12,162,422900,79035781,SUNDAY
Airport ATM,21/11/12,93,352800,65934792,SUNDAY
KK Nagar ATM,21/11/12,219,874400,163416616,SUNDAY
Christ College ATM,21/11/12,80,426700,79745963,SUNDAY
Big Street ATM,22/11/12,78,234400,43807016,SUNDAY
Mount Road ATM,22/11/12,130,404200,75540938,SUNDAY
Airport ATM,22/11/12,104,553600,103462304,SUNDAY
KK Nagar ATM,22/11/12,250,948100,177190409,SUNDAY
Christ College ATM,22/11/12,82,335900,62776351,SUNDAY
Big Street ATM,23/11/12,85,261500,48871735,SUNDAY
Mount Road ATM,23/11/12,45,81300,15194157,SUNDAY
Airport ATM,23/11/12,92,381300,71261157,SUNDAY
KK Nagar ATM,23/11/12,218,832700,155623303,SUNDAY
Christ College ATM,23/11/12,96,427800,79951542,SUNDAY
Big Street ATM,24/11/12,85,252200,47133658,SATURDAY
Mount Road ATM,24/11/12,161,439600,82156844,SATURDAY
Airport ATM,24/11/12,88,432800,80885992,SATURDAY
KK Nagar ATM,24/11/12,293,1453800,271700682,SATURDAY
Christ College ATM,24/11/12,86,341900,63897691,SATURDAY
Big Street ATM,25/11/12,80,212700,39751503,SUNDAY
Mount Road ATM,25/11/12,36,95600,17866684,SUNDAY
Airport ATM,25/11/12,79,359600,67205644,SUNDAY
KK Nagar ATM,25/11/12,120,467400,87352386,SUNDAY
Christ College ATM,25/11/12,83,237700,44423753,SUNDAY
Big Street ATM,26/11/12,90,290600,54310234,SUNDAY
Mount Road ATM,26/11/12,126,408300,76307187,SUNDAY
Airport ATM,26/11/12,94,315500,58963795,SUNDAY
KK Nagar ATM,26/11/12,260,1213000,226697570,SUNDAY
Christ College ATM,26/11/12,78,359900,67261711,SUNDAY
Big Street ATM,27/11/12,78,272400,50908836,SUNDAY
Mount Road ATM,27/11/12,131,315900,59038551,SUNDAY
Airport ATM,27/11/12,85,259000,48404510,SUNDAY
KK Nagar ATM,27/11/12,195,635800,118824662,SUNDAY
Christ College ATM,27/11/12,97,439800,82194222,SUNDAY
Big Street ATM,28/11/12,76,153100,28612859,SUNDAY
Mount Road ATM,28/11/12,139,408600,76363254,SUNDAY
Airport ATM,28/11/12,95,420300,78549867,SUNDAY
KK Nagar ATM,28/11/12,221,1120100,209335489,SUNDAY
Christ College ATM,28/11/12,97,475300,88828817,SUNDAY
Big Street ATM,29/11/12,81,288100,53843009,SUNDAY
Mount Road ATM,29/11/12,136,310300,57991967,SUNDAY
Airport ATM,29/11/12,50,258500,48311065,SUNDAY
KK Nagar ATM,29/11/12,233,972400,181731836,SUNDAY
Christ College ATM,29/11/12,99,409600,76550144,SUNDAY
Big Street ATM,30/11/12,96,340700,63673423,SUNDAY
Mount Road ATM,30/11/12,187,692000,129327880,SUNDAY
Airport ATM,30/11/12,113,475400,88847506,SUNDAY
KK Nagar ATM,30/11/12,259,1187300,221894497,SUNDAY
Christ College ATM,30/11/12,111,511600,95612924,SUNDAY
Big Street ATM,01/12/12,117,433100,80942059,SATURDAY
Mount Road ATM,01/12/12,184,704000,131570560,SATURDAY
Airport ATM,01/12/12,127,530900,99219901,SATURDAY
KK Nagar ATM,01/12/12,309,1617000,302201130,SATURDAY
Christ College ATM,01/12/12,143,791300,147886057,SATURDAY
Big Street ATM,02/12/12,141,432600,80848614,SUNDAY
Mount Road ATM,02/12/12,219,856300,160033907,SUNDAY
Airport ATM,02/12/12,106,492900,92118081,SUNDAY
KK Nagar ATM,02/12/12,242,1009800,188721522,SUNDAY
Christ College ATM,02/12/12,181,810600,151493034,SUNDAY
Big Street ATM,03/12/12,105,398200,74419598,SUNDAY
Mount Road ATM,03/12/12,181,695300,129944617,SUNDAY
Airport ATM,03/12/12,95,598000,111760220,SUNDAY
KK Nagar ATM,03/12/12,239,1142600,213540514,SUNDAY
Christ College ATM,03/12/12,132,538100,100565509,SUNDAY
Big Street ATM,04/12/12,127,446000,83352940,SUNDAY
Mount Road ATM,04/12/12,212,800900,149680201,SUNDAY
Airport ATM,04/12/12,87,421900,78848891,SUNDAY
KK Nagar ATM,04/12/12,255,1177700,220100353,SUNDAY
Christ College ATM,04/12/12,139,678500,126804865,SUNDAY
Big Street ATM,05/12/12,112,383800,71728382,SUNDAY
Mount Road ATM,05/12/12,192,679300,126954377,SUNDAY
Airport ATM,05/12/12,95,548300,102471787,SUNDAY
KK Nagar ATM,05/12/12,296,1472200,275139458,SUNDAY
Christ College ATM,05/12/12,147,800400,149586756,SUNDAY
Big Street ATM,06/12/12,82,268300,50142587,SUNDAY
Mount Road ATM,06/12/12,169,517600,96734264,SUNDAY
Airport ATM,06/12/12,139,627700,117310853,SUNDAY
KK Nagar ATM,06/12/12,263,1266700,236733563,SUNDAY
Christ College ATM,06/12/12,146,585300,109386717,SUNDAY
Big Street ATM,07/12/12,98,369100,68981099,SUNDAY
Mount Road ATM,07/12/12,138,486200,90865918,SUNDAY
Airport ATM,07/12/12,143,733400,137065126,SUNDAY
KK Nagar ATM,07/12/12,241,893100,166911459,SUNDAY
Christ College ATM,07/12/12,119,527900,98659231,SUNDAY
Big Street ATM,08/12/12,90,362300,67710247,SATURDAY
Mount Road ATM,08/12/12,234,806100,150652029,SATURDAY
Airport ATM,08/12/12,148,778900,145568621,SATURDAY
KK Nagar ATM,08/12/12,320,1357900,253777931,SATURDAY
Christ College ATM,08/12/12,146,768900,143699721,SATURDAY
Big Street ATM,09/12/12,113,327800,61262542,SUNDAY
Mount Road ATM,09/12/12,150,412100,77017369,SUNDAY
Airport ATM,09/12/12,111,453100,84679859,SUNDAY
KK Nagar ATM,09/12/12,56,194100,36275349,SUNDAY
Christ College ATM,09/12/12,108,439700,82175533,SUNDAY
Big Street ATM,10/12/12,95,300700,56197823,SUNDAY
Mount Road ATM,10/12/12,189,725900,135663451,SUNDAY
Airport ATM,10/12/12,95,499800,93407622,SUNDAY
KK Nagar ATM,10/12/12,257,1091500,203990435,SUNDAY
Christ College ATM,10/12/12,106,476500,89053085,SUNDAY
Big Street ATM,11/12/12,85,325300,60795317,SUNDAY
Mount Road ATM,11/12/12,119,378600,70756554,SUNDAY
Airport ATM,11/12/12,100,507000,94753230,SUNDAY
KK Nagar ATM,11/12/12,323,1441600,269420624,SUNDAY
Christ College ATM,11/12/12,125,582500,108863425,SUNDAY
Big Street ATM,12/12/12,90,366200,68439118,SUNDAY
Mount Road ATM,12/12/12,167,685600,128131784,SUNDAY
Airport ATM,12/12/12,130,650900,121646701,SUNDAY
KK Nagar ATM,12/12/12,282,1160200,216829778,SUNDAY
Christ College ATM,12/12/12,109,406900,76045541,SUNDAY
Big Street ATM,13/12/12,90,338800,63318332,SUNDAY
Mount Road ATM,13/12/12,163,568200,106190898,SUNDAY
Airport ATM,13/12/12,57,254000,47470060,SUNDAY
KK Nagar ATM,13/12/12,201,879100,164294999,SUNDAY
Christ College ATM,13/12/12,116,512500,95781125,SUNDAY
Big Street ATM,14/12/12,76,308600,57674254,SUNDAY
Mount Road ATM,14/12/12,155,480200,89744578,SUNDAY
Airport ATM,14/12/12,94,451600,84399524,SUNDAY
KK Nagar ATM,14/12/12,229,863000,161286070,SUNDAY
Christ College ATM,14/12/12,80,366100,68420429,SUNDAY
Big Street ATM,15/12/12,120,406200,75914718,SATURDAY
Mount Road ATM,15/12/12,173,557100,104116419,SATURDAY
Airport ATM,15/12/12,117,568200,106190898,SATURDAY
KK Nagar ATM,15/12/12,271,1336600,249797174,SATURDAY
Christ College ATM,15/12/12,105,568700,106284343,SATURDAY
Big Street ATM,16/12/12,118,349100,65243299,SUNDAY
Mount Road ATM,16/12/12,167,278000,51955420,SUNDAY
Airport ATM,16/12/12,107,430300,80418767,SUNDAY
KK Nagar ATM,16/12/12,108,355700,66476773,SUNDAY
Christ College ATM,16/12/12,119,315200,58907728,SUNDAY
Big Street ATM,17/12/12,95,291300,54441057,SUNDAY
Mount Road ATM,17/12/12,171,585600,109442784,SUNDAY
Airport ATM,17/12/12,110,526100,98322829,SUNDAY
KK Nagar ATM,17/12/12,221,1172300,219091147,SUNDAY
Christ College ATM,17/12/12,94,277500,51861975,SUNDAY
Big Street ATM,18/12/12,76,241900,45208691,SUNDAY
Mount Road ATM,18/12/12,190,562600,105144314,SUNDAY
Airport ATM,18/12/12,101,503400,94080426,SUNDAY
KK Nagar ATM,18/12/12,208,936700,175059863,SUNDAY
Christ College ATM,18/12/12,106,428800,80138432,SUNDAY
Big Street ATM,19/12/12,77,226200,42274518,SUNDAY
Mount Road ATM,19/12/12,195,824600,154109494,SUNDAY
Airport ATM,19/12/12,124,548000,102415720,SUNDAY
KK Nagar ATM,19/12/12,244,1014400,189581216,SUNDAY
Christ College ATM,19/12/12,107,324400,60627116,SUNDAY
Big Street ATM,20/12/12,90,287200,53674808,SUNDAY
Mount Road ATM,20/12/12,188,535500,100079595,SUNDAY
Airport ATM,20/12/12,92,411700,76942613,SUNDAY
KK Nagar ATM,20/12/12,212,869000,162407410,SUNDAY
Christ College ATM,20/12/12,106,521500,97463135,SUNDAY
Big Street ATM,21/12/12,77,304600,56926694,SUNDAY
Mount Road ATM,21/12/12,116,396400,74083196,SUNDAY
Airport ATM,21/12/12,107,444800,83128672,SUNDAY
KK Nagar ATM,21/12/12,239,1092000,204083880,SUNDAY
Christ College ATM,21/12/12,92,353000,65972170,SUNDAY
Big Street ATM,22/12/12,130,436000,81484040,SATURDAY
Mount Road ATM,22/12/12,162,566900,105947941,SATURDAY
Airport ATM,22/12/12,104,479700,89651133,SATURDAY
KK Nagar ATM,22/12/12,291,1196900,223688641,SATURDAY
Christ College ATM,22/12/12,84,437200,81708308,SATURDAY
Big Street ATM,23/12/12,67,220700,41246623,SUNDAY
Mount Road ATM,23/12/12,160,416900,77914441,SUNDAY
Airport ATM,23/12/12,76,276500,51675085,SUNDAY
KK Nagar ATM,23/12/12,146,457000,85408730,SUNDAY
Christ College ATM,23/12/12,78,358700,67037443,SUNDAY
Big Street ATM,24/12/12,97,363900,68009271,SUNDAY
Mount Road ATM,24/12/12,144,494600,92435794,SUNDAY
Airport ATM,24/12/12,84,472300,88268147,SUNDAY
KK Nagar ATM,24/12/12,243,1175200,219633128,SUNDAY
Christ College ATM,24/12/12,108,359600,67205644,SUNDAY
Big Street ATM,25/12/12,76,235400,43993906,TUESDAY
Mount Road ATM,25/12/12,85,230300,43040767,TUESDAY
Airport ATM,25/12/12,76,246000,45974940,TUESDAY
KK Nagar ATM,25/12/12,111,384700,71896583,TUESDAY
Christ College ATM,25/12/12,68,163000,30463070,TUESDAY
Big Street ATM,26/12/12,89,210800,39396412,TUESDAY
Mount Road ATM,26/12/12,114,445600,83278184,TUESDAY
Airport ATM,26/12/12,101,344100,64308849,TUESDAY
KK Nagar ATM,26/12/12,243,969400,181171166,TUESDAY
Christ College ATM,26/12/12,105,480700,89838023,TUESDAY
Big Street ATM,27/12/12,94,343200,64140648,TUESDAY
Mount Road ATM,27/12/12,133,398000,74382220,TUESDAY
Airport ATM,27/12/12,121,362900,67822381,TUESDAY
KK Nagar ATM,27/12/12,212,1088600,203448454,TUESDAY
Christ College ATM,27/12/12,100,430300,80418767,TUESDAY
Big Street ATM,28/12/12,109,468700,87595343,TUESDAY
Mount Road ATM,28/12/12,126,486400,90903296,TUESDAY
Airport ATM,28/12/12,53,177600,33191664,TUESDAY
KK Nagar ATM,28/12/12,195,854200,159641438,TUESDAY
Christ College ATM,28/12/12,80,244600,45713294,TUESDAY
Big Street ATM,29/12/12,98,264300,49395027,SATURDAY
Mount Road ATM,29/12/12,85,171400,32032946,SATURDAY
Airport ATM,29/12/12,33,146400,27360696,SATURDAY
KK Nagar ATM,29/12/12,233,991400,185282746,SATURDAY
Christ College ATM,29/12/12,103,549300,102658677,SATURDAY
Big Street ATM,30/12/12,106,376000,70270640,SUNDAY
Mount Road ATM,30/12/12,117,262600,49077314,SUNDAY
Airport ATM,30/12/12,107,442800,82754892,SUNDAY
KK Nagar ATM,30/12/12,140,449800,84063122,SUNDAY
Christ College ATM,30/12/12,69,169600,31696544,SUNDAY
Big Street ATM,31/12/12,118,364300,68084027,SUNDAY
Mount Road ATM,31/12/12,251,1037800,193954442,SUNDAY
Airport ATM,31/12/12,155,821300,153492757,SUNDAY
KK Nagar ATM,31/12/12,370,1587700,296725253,SUNDAY
Christ College ATM,31/12/12,105,381700,71335913,SUNDAY
Big Street ATM,01/01/13,125,429200,80213188,TUESDAY
Mount Road ATM,01/01/13,144,377900,70625731,TUESDAY
Airport ATM,01/01/13,78,315400,58945106,TUESDAY
KK Nagar ATM,01/01/13,268,1290200,241125478,TUESDAY
Christ College ATM,01/01/13,95,427100,79820719,TUESDAY
Big Street ATM,02/01/13,108,401000,74942890,WEDNESDAY
Mount Road ATM,02/01/13,191,772300,144335147,WEDNESDAY
Airport ATM,02/01/13,137,670700,125347123,WEDNESDAY
KK Nagar ATM,02/01/13,346,1710500,319675345,WEDNESDAY
Christ College ATM,02/01/13,106,452100,84492969,WEDNESDAY
Big Street ATM,03/01/13,94,314800,58832972,THURSDAY
Mount Road ATM,03/01/13,188,738100,137943509,THURSDAY
